fixture,home_directfk_xG,home_corner_xG,home_op_xG,home_pen_xG,home_setpiece_xG,home_directfk_shots_ot,home_corner_shots_ot,home_op_shots_ot,home_pen_shots_ot,home_setpiece_shots_ot,date,home_team,away_team,home_directfk_shots,home_corner_shots,home_op_shots,home_pen_shots,home_setpiece_shots,away_directfk_xG,away_corner_xG,away_op_xG,away_pen_xG,away_setpiece_xG,away_directfk_shots_ot,away_corner_shots_ot,away_op_shots_ot,away_pen_shots_ot,away_setpiece_shots_ot,away_directfk_shots,away_corner_shots,away_op_shots,away_pen_shots,away_setpiece_shots,home_xG,away_xG,home_np_xG,away_np_xG,home_sp_xG,away_sp_xG,season
Hull v Manchester United,0.09787270054221153,0.0,0.15798089746385813,0.0,0.01296169962733984,0,0,2,0,0,2016-08-27,Hull,Manchester United,2,0,5,0,1,0.19268079847097397,0.0829153023660183,2.172877436503768,0.0,0.04325539991259575,1,0,7,0,0,3,3,22,0,1,0.2688152976334095,2.491728937253356,0.2688152976334095,2.491728937253356,0.11083440016955137,0.318851500749588,2016
West Bromwich Albion v Middlesbrough,0.0,0.3006471060216427,0.39966310281306505,0.0,0.0,0,0,2,0,0,2016-08-28,West Bromwich Albion,Middlesbrough,0,4,9,0,0,0.0,0.17214210331439972,0.2246741997078061,0.0,0.0,0,1,1,0,0,0,2,5,0,0,0.7003102088347077,0.39681630302220583,0.7003102088347077,0.39681630302220583,0.3006471060216427,0.17214210331439972,2016
Manchester City v West Ham,0.05937910079956055,0.0,2.7029741536825895,0.0,0.4784764973446727,0,0,4,0,1,2016-08-28,Manchester City,West Ham,1,0,18,0,3,0.0,0.13513510208576918,0.9487118041142821,0.0,0.0,0,0,2,0,0,0,2,7,0,0,3.2408297518268228,1.0838469062000513,3.2408297518268228,1.0838469062000513,0.5378555981442332,0.13513510208576918,2016
Manchester United v Manchester City,0.0,0.0,0.9545219428837299,0.0,0.05560449883341789,0,0,1,0,1,2016-09-10,Manchester United,Manchester City,0,0,13,0,1,0.11733909696340561,0.21231510117650032,1.556214403361082,0.0,0.05110200121998787,0,3,3,0,0,2,3,12,0,1,1.0101264417171478,1.9369706027209759,1.0101264417171478,1.9369706027209759,0.05560449883341789,0.3807561993598938,2016
Arsenal v Southampton,0.0,0.24125339929014444,0.872700896114111,0.7611690163612366,0.017069099470973015,0,1,0,1,0,2016-09-10,Arsenal,Southampton,0,5,10,1,2,0.17394199967384338,0.0,0.8726137848570943,0.0,0.14216099679470062,1,0,4,0,0,1,0,9,0,1,1.892192411236465,1.1887167813256383,1.1310233948752284,1.1887167813256383,0.25832249876111746,0.316102996468544,2016
Bournemouth v West Bromwich Albion,0.0,0.014192700386047363,0.9731771871447563,0.0,0.0,0,0,5,0,0,2016-09-10,Bournemouth,West Bromwich Albion,0,1,11,0,0,0.0,0.5219758916646242,0.9614889081567526,0.0,0.0,0,1,1,0,0,0,3,9,0,0,0.9873698875308037,1.4834647998213768,0.9873698875308037,1.4834647998213768,0.014192700386047363,0.5219758916646242,2016
Burnley v Hull,0.0,0.1541091948747635,0.2995626023039222,0.0,0.0,0,0,2,0,0,2016-09-10,Burnley,Hull,0,2,11,0,0,0.07010000199079514,0.13023799657821655,0.706778597086668,0.0,0.0,1,0,2,0,0,1,1,9,0,0,0.45367179717868567,0.9071165956556797,0.45367179717868567,0.9071165956556797,0.1541091948747635,0.2003379985690117,2016
Middlesbrough v Crystal Palace,0.0,0.08661799877882004,0.5253418181091547,0.0,0.0,0,1,3,0,0,2016-09-10,Middlesbrough,Crystal Palace,0,3,9,0,0,0.0,0.0967801995575428,0.9796857163310051,0.0,0.04837239906191826,0,0,4,0,0,0,5,6,0,1,0.6119598168879747,1.1248383149504662,0.6119598168879747,1.1248383149504662,0.08661799877882004,0.14515259861946106,2016
Stoke v Tottenham,0.05125350132584572,0.40643069706857204,0.561030425131321,0.0,0.0,0,1,1,0,0,2016-09-10,Stoke,Tottenham,1,4,11,0,0,0.0,0.039282798767089844,2.7164188511669636,0.0,0.01454909984022379,0,0,8,0,0,0,1,18,0,1,1.0187146235257387,2.770250749774277,1.0187146235257387,2.770250749774277,0.45768419839441776,0.05383189860731363,2016
West Ham v Watford,0.1087012030184269,0.04890879988670349,1.0381373018026352,0.0,0.13169800490140915,0,1,3,0,0,2016-09-10,West Ham,Watford,2,1,12,0,4,0.0,0.0,1.8573323730379343,0.0,0.0,0,0,8,0,0,0,0,13,0,0,1.3274453096091747,1.8573323730379343,1.3274453096091747,1.8573323730379343,0.28930800780653954,0.0,2016
Liverpool v Leicester,0.0,0.0,2.7691629584878683,0.0,0.0,0,0,11,0,0,2016-09-10,Liverpool,Leicester,0,0,17,0,0,0.0,0.1372797004878521,1.075360826216638,0.0,0.012442500330507755,0,0,3,0,0,0,2,9,0,1,2.7691629584878683,1.225083027034998,2.7691629584878683,1.225083027034998,0.0,0.14972220081835985,2016
Swansea v Chelsea,0.0,0.0,0.4692313149571419,0.7611690163612366,0.0,0,0,1,1,0,2016-09-11,Swansea,Chelsea,0,0,5,1,0,0.051591601222753525,0.7151658162474632,1.336259100586176,0.0,0.09342460054904222,0,0,7,0,0,1,6,19,0,2,1.2304003313183784,2.196441118605435,0.4692313149571419,2.196441118605435,0.0,0.860182018019259,2016
Sunderland v Everton,0.05457190051674843,0.09542830288410187,0.899661423638463,0.0,0.0,1,1,0,0,0,2016-09-12,Sunderland,Everton,1,1,9,0,0,0.0,0.12815169990062714,2.7267372123897076,0.0,0.0,0,1,8,0,0,0,2,18,0,0,1.0496616270393133,2.8548889122903347,1.0496616270393133,2.8548889122903347,0.1500002034008503,0.12815169990062714,2016
Chelsea v Liverpool,0.08699779957532883,0.10829640086740255,0.8687142273411155,0.0,0.10093799978494644,0,1,2,0,1,2016-09-16,Chelsea,Liverpool,1,3,7,0,1,0.0,0.03837830014526844,0.9073683861643076,0.0,0.47104500234127045,0,0,4,0,1,0,2,9,0,2,1.1649464275687933,1.4167916886508465,1.1649464275687933,1.4167916886508465,0.2962322002276778,0.5094233024865389,2016
Hull v Arsenal,0.049310799688100815,0.0,0.15921320859342813,0.7611690163612366,0.0,0,0,1,1,0,2016-09-17,Hull,Arsenal,1,0,4,1,0,0.0,0.12314650230109692,2.807806493714452,0.7611690163612366,0.0,0,0,8,1,0,0,3,20,1,0,0.9696930246427655,3.6921220123767853,0.20852400828152895,2.9309529960155487,0.049310799688100815,0.12314650230109692,2016
Leicester v Burnley,0.0,0.24710850045084953,1.1369711365550756,0.0,0.6024000775068998,0,1,4,0,1,2016-09-17,Leicester,Burnley,0,6,6,0,2,0.037758298218250275,0.0,0.4058145107701421,0.0,0.020950600504875183,1,0,1,0,0,1,0,6,0,1,1.986479714512825,0.46452340949326754,1.986479714512825,0.46452340949326754,0.8495085779577494,0.05870889872312546,2016
Manchester City v Bournemouth,0.11975300312042236,0.0459555983543396,3.2216171734035015,0.0,0.0,2,0,9,0,0,2016-09-17,Manchester City,Bournemouth,2,1,17,0,0,0.0,0.0,0.38967169262468815,0.0,0.0,0,0,2,0,0,0,0,6,0,0,3.3873257748782635,0.38967169262468815,3.3873257748782635,0.38967169262468815,0.16570860147476196,0.0,2016
